theory,global_attribute_on_unnamed_lemma,use_apply,use_by,counter_example_finder,bad_style_command,lemma_transforming_attribute,auto_structural_composition,force_failure,low_level_apply_chain,unfinished_proof,global_attribute_changes,complex_isar_initial_method,diagnostic_command,simplifier_isar_initial_method,short_name,implicit_rule,unrestricted_auto,use_isar,proof_finder,smt_oracle,axiomatization_with_where,complex_method,apply_isar_switch,tactic_proofs,axiomatization_with_where
Abs_Int_ITP2012.Abs_Int1_parity,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abs_Int_ITP2012.Abs_Int2,0,41,1,0,0,0,0,32,0,0,0,0,0,1,0,4,4,48,0,0,0,0,0,0,0
Abs_Int_ITP2012.Abs_Int2_ivl,2,25,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0
Abs_Int_ITP2012.Abs_Int3,0,72,6,0,0,0,0,32,0,0,0,0,0,7,0,0,13,97,0,0,0,0,0,8,0
Abs_Int_ITP2012.Abs_State,0,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Abs_Int_ITP2012.Collecting,0,29,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Abs_Int_ITP2012.Complete_Lattice_ix,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Abstract-Hoare-Logics.Hoare,4,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,59,0,0,0,0,0,0,0
Abstract-Hoare-Logics.HoareTotal,4,2,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,3,0
Abstract-Hoare-Logics.Lang,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0
Abstract-Hoare-Logics.PHoare,0,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,3,0
Abstract-Hoare-Logics.PHoareTotal,1,10,10,0,0,1,0,52,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,54,0
Abstract-Hoare-Logics.PLang,1,12,1,0,0,2,0,5,0,0,0,0,0,0,0,0,2,52,0,0,0,0,0,3,0
